Ano,Unidade_Geografica,Dependencia_Administrativa,Grupo_de_Abandono,Taxa_Abandono,Renda_Media,,prEm,,,,prEf,,,
2013,Norte,Publica,Ensino Medio,"13,97",2252,,,,,media,,,,mediana
2013,Nordeste,Publica,Ensino Medio,"10,87",1976,, Média ,,"1,30","1,30", Média ,,"0,37","0,90"
2013,Sudeste,Publica,Ensino Medio,"6,17",3306,,Mediana,,"0,90","0,37",Mediana,,"0,23","0,23"
2013,Sul,Publica,Ensino Medio,"7,70",3194,,"Desvio padrao pop,inteira",,"0,8470392577","6,82","Desvio padrao pop,inteira",,"0,6108407429","6,50"
2013,Centro-Oeste,Publica,Ensino Medio,"9,70",3299,,Amplitude,,"3,67","1,71",Amplitude,,"4,07","1,20"
2014,Norte,Publica,Ensino Medio,"13,93",2284,,IQR,,"1,37",,IQR,,"0,345",
2014,Nordeste,Publica,Ensino Medio,"10,33",2039,,Moda,,"0,87",,Moda,,"0,07",
2014,Sudeste,Publica,Ensino Medio,"5,33",3439,,Variância,,"0,7174755041",,Variância,,"0,3731264132",
2014,Sul,Publica,Ensino Medio,"7,53",3277,,,,,,,,,
2014,Centro-Oeste,Publica,Ensino Medio,"8,83",3367,,puEm,,,dvp,puEf,,,
2015,Norte,Publica,Ensino Medio,"14,00",2223,,,,,"0,8470392577",,,,
2015,Nordeste,Publica,Ensino Medio,"9,13",1988,, Média ,,"6,82","0,6108407429", Média ,,"1,71",
2015,Sudeste,Publica,Ensino Medio,"4,37",3303,,Mediana,,"6,50","3,197783447",Mediana,,"1,20",
2015,Sul,Publica,Ensino Medio,"7,70",3133,,"Desvio padrao pop,inteira",,"3,197783447","1,157906347","Desvio padrao pop,inteira",,"1,157906347",
2015,Centro-Oeste,Publica,Ensino Medio,"9,50",3227,,Amplitude,,"12,83",,Amplitude,,"4,00",
2016,Norte,Publica,Ensino Medio,"11,83",2085,,IQR,,"4,645",,IQR,,"1,75",
2016,Nordeste,Publica,Ensino Medio,"9,00",1963,,Moda,,"7,7",,Moda,,"1,2",
2016,Sudeste,Publica,Ensino Medio,"5,07",3366,,Variância,,"10,22581898",,Variância,,"1,340747107",
2016,Sul,Publica,Ensino Medio,"6,63",3109,,,,,,,,,
2016,Centro-Oeste,Publica,Ensino Medio,"7,80",3152,,,,,,,,,
2017,Norte,Publica,Ensino Medio,"10,47",2147,,Medida Estatística,,Valor Calculado,,,,,
2017,Nordeste,Publica,Ensino Medio,"7,87",2018,,Média,,"2,56",,,,,
2017,Sudeste,Publica,Ensino Medio,"4,50",3261,,Mediana,,"1,20",,,,,
2017,Sul,Publica,Ensino Medio,"7,40",3158,,Moda,,"0,8",,,,,
2017,Centro-Oeste,Publica,Ensino Medio,"7,70",3239,,Variância,,"9,496576403",,,,,
2018,Norte,Publica,Ensino Medio,"11,17",2264,,Desvio Padrão,,"3,081651571",,,,,
2018,Nordeste,Publica,Ensino Medio,"7,50",1983,,MÁXIMO,,"14,00",,,,,
2018,Sudeste,Publica,Ensino Medio,"4,67",3377,,MÍNIMO,,"0,03",,,,,
2018,Sul,Publica,Ensino Medio,"6,50",3185,,CÚRTOSE,,"2,529075728",,,,,
2018,Centro-Oeste,Publica,Ensino Medio,"6,40",3254,,,,,,,,,
2019,Norte,Publica,Ensino Medio,"10,13",2117,,,,,,,,,
2019,Nordeste,Publica,Ensino Medio,"5,87",2024,,,,,,,,,
2019,Sudeste,Publica,Ensino Medio,"3,47",3356,,,,,,,,,
2019,Sul,Publica,Ensino Medio,"4,53",3238,,,,,,,,,
2019,Centro-Oeste,Publica,Ensino Medio,"6,10",3169,,,,,,,,,
2020,Norte,Publica,Ensino Medio,"1,17",2211,,,,,,,,,
2020,Nordeste,Publica,Ensino Medio,"2,57",2178,,,,,,,,,
2020,Sudeste,Publica,Ensino Medio,"2,23",3451,,,,,,,,,
2020,Sul,Publica,Ensino Medio,"4,37",3247,,,,,,,,,
2020,Centro-Oeste,Publica,Ensino Medio,"1,43",3271,,,,,,,,,
2021,Norte,Publica,Ensino Medio,"10,67",2104,,,,,,,,,
2021,Nordeste,Publica,Ensino Medio,"7,00",1960,,,,,,,,,
2021,Sudeste,Publica,Ensino Medio,"3,03",3261,,,,,,,,,
2021,Sul,Publica,Ensino Medio,"5,87",3065,,,,,,,,,
2021,Centro-Oeste,Publica,Ensino Medio,"2,73",3108,,,,,,,,,
2022,Norte,Publica,Ensino Medio,"10,33",2173,,,,,,,,,
2022,Nordeste,Publica,Ensino Medio,"7,73",1889,,,,,,,,,
2022,Sudeste,Publica,Ensino Medio,"4,47",3147,,,,,,,,,
2022,Sul,Publica,Ensino Medio,"6,27",3083,,,,,,,,,
2022,Centro-Oeste,Publica,Ensino Medio,"5,40",3162,,,,,,,,,
2023,Norte,Publica,Ensino Medio,"3,30",2416,,,,,,,,,
2023,Nordeste,Publica,Ensino Medio,"3,80",1991,,,,,,,,,
2023,Sudeste,Publica,Ensino Medio,"3,47",3389,,,,,,,,,
2023,Sul,Publica,Ensino Medio,"4,17",3225,,,,,,,,,
2023,Centro-Oeste,Publica,Ensino Medio,"2,13",3418,,,,,,,,,
2013,Norte,Publica,Ensino Fundamental,"4,30",2252,,,,,,,,,
2013,Nordeste,Publica,Ensino Fundamental,"4,30",1976,,,,,,,,,
2013,Sudeste,Publica,Ensino Fundamental,"1,40",3306,,,,,,,,,
2013,Sul,Publica,Ensino Fundamental,"1,30",3194,,,,,,,,,
2013,Centro-Oeste,Publica,Ensino Fundamental,"1,60",3299,,,,,,,,,
2014,Norte,Publica,Ensino Fundamental,"4,10",2284,,,,,,,,,
2014,Nordeste,Publica,Ensino Fundamental,"4,10",2039,,,,,,,,,
2014,Sudeste,Publica,Ensino Fundamental,"1,40",3439,,,,,,,,,
2014,Sul,Publica,Ensino Fundamental,"1,20",3277,,,,,,,,,
2014,Centro-Oeste,Publica,Ensino Fundamental,"1,60",3367,,,,,,,,,
2015,Norte,Publica,Ensino Fundamental,"3,90",2223,,,,,,,,,
2015,Nordeste,Publica,Ensino Fundamental,"3,70",1988,,,,,,,,,
2015,Sudeste,Publica,Ensino Fundamental,"1,20",3303,,,,,,,,,
2015,Sul,Publica,Ensino Fundamental,"1,20",3133,,,,,,,,,
2015,Centro-Oeste,Publica,Ensino Fundamental,"1,50",3227,,,,,,,,,
2016,Norte,Publica,Ensino Fundamental,"3,50",2085,,,,,,,,,
2016,Nordeste,Publica,Ensino Fundamental,"3,60",1963,,,,,,,,,
2016,Sudeste,Publica,Ensino Fundamental,"1,20",3366,,,,,,,,,
2016,Sul,Publica,Ensino Fundamental,"0,90",3109,,,,,,,,,
2016,Centro-Oeste,Publica,Ensino Fundamental,"1,40",3152,,,,,,,,,
2017,Norte,Publica,Ensino Fundamental,"3,20",2147,,,,,,,,,
2017,Nordeste,Publica,Ensino Fundamental,"3,10",2018,,,,,,,,,
